15:22:04   28.05.2013              Programm Climap                 MeteoSchweiz
Zeitangaben in UTC 0040 (UTC)  =  01:40 Uhr Winterzeit  =  02:40 Uhr Sommerzeit
Auswahlperiode: 01.01.1998 00:00  -  31.12.2012 23:50 UTC 32767 -> Keine Angabe
Anzahl Stationen  1
    32	Payerne                  490 m.?.M.	562150/ 184855
Anzahl Parameter  3
   211  Lufttemperatur 2 m über Boden; Tagesmittel  [°C]
   224  Globalstrahlung; Tagesmittel  [W/m²]
   237  Niederschlag; Kalendertag  [mm]

  STA JAHR MO TG HH MM   211   224   237
   32 1998  1  1  0  0   1.2    47   0.8 
   32 1998  1  2  0  0   6.7    15  12.4 
   32 1998  1  3  0  0   6.1    15   3.1 
   32 1998  1  4  0  0   6.2    49   1.0 
   32 1998  1  5  0  0   7.5    67   2.5 
   32 1998  1  6  0  0   6.4    21   0.6 
   32 1998  1  7  0  0   8.2    58   0.0 
   32 1998  1  8  0  0   7.5    68   0.0 
   32 1998  1  9  0  0   2.3    72   0.0 
   32 1998  1 10  0  0  -1.3    70   0.0 
   32 1998  1 11  0  0  -2.5    52   0.0 
   32 1998  1 12  0  0  -1.3    43   0.0 
   32 1998  1 13  0  0  -0.4    22   0.0 
   32 1998  1 14  0  0   2.9    18   0.1 
   32 1998  1 15  0  0   2.3    55   0.0 
   32 1998  1 16  0  0   5.1    14   4.3 
   32 1998  1 17  0  0   2.5    65   0.0 
   32 1998  1 18  0  0   1.1    35   1.2 
   32 1998  1 19  0  0   4.9    52   9.4 
   32 1998  1 20  0  0   0.3    25   3.6 
   32 1998  1 21  0  0   0.9    46   0.1 
   32 1998  1 22  0  0  -1.6    27   0.0 
   32 1998  1 23  0  0  -1.2    33   0.0 
   32 1998  1 24  0  0  -1.7    20   0.0 
   32 1998  1 25  0  0  -1.5    12   0.0 
   32 1998  1 26  0  0  -1.5    28   0.0 
   32 1998  1 27  0  0  -2.4    28   0.0 
   32 1998  1 28  0  0  -2.2    62   0.0 
   32 1998  1 29  0  0  -3.4    24   0.0 
   32 1998  1 30  0  0  -1.8    71   0.0 
   32 1998  1 31  0  0  -2.1    80   0.0 
   32 1998  2  1  0  0  -1.6    75   0.0 
   32 1998  2  2  0  0  -2.6    73   0.0 
   32 1998  2  3  0  0  -1.3    67   0.0 
   32 1998  2  4  0  0  -3.2    62   0.0 
   32 1998  2  5  0  0  -4.1    97   0.0 
   32 1998  2  6  0  0  -3.0   100   0.0 
   32 1998  2  7  0  0  -0.7    64   1.0 
   32 1998  2  8  0  0   0.3   111   0.0 
   32 1998  2  9  0  0   0.3   110   0.0 
   32 1998  2 10  0  0   1.6   112   0.0 
   32 1998  2 11  0  0   2.5   114   0.0 
   32 1998  2 12  0  0   3.5   117   0.0 
   32 1998  2 13  0  0   3.8   118   0.0 
   32 1998  2 14  0  0   4.2   117   0.0 
   32 1998  2 15  0  0   3.9   117   0.0 
   32 1998  2 16  0  0   7.6    83   0.0 
   32 1998  2 17  0  0   6.1    94   0.0 
   32 1998  2 18  0  0   0.6    46   0.0 
   32 1998  2 19  0  0   3.6   124   0.0 
   32 1998  2 20  0  0   4.7   125   0.0 
   32 1998  2 21  0  0   8.3   121   0.0 
   32 1998  2 22  0  0   6.4    25   6.1 
   32 1998  2 23  0  0   4.1    30   2.3 
   32 1998  2 24  0  0   6.2    84   0.0 
   32 1998  2 25  0  0   7.4    96   0.0 
   32 1998  2 26  0  0   6.3   132   0.0 
   32 1998  2 27  0  0   6.0   127   0.0 
   32 1998  2 28  0  0   7.1    67   0.2 
   32 1998  3  1  0  0   5.3    83   1.2 
   32 1998  3  2  0  0   4.8    73   0.0 
   32 1998  3  3  0  0   7.9    88   0.0 
   32 1998  3  4  0  0  12.9    62   0.3 
   32 1998  3  5  0  0   7.6   140   6.6 
   32 1998  3  6  0  0   8.4    91   0.0 
   32 1998  3  7  0  0  11.3    69   2.3 
   32 1998  3  8  0  0   6.1    28   8.9 
   32 1998  3  9  0  0   1.9   102   2.0 
   32 1998  3 10  0  0   0.3   183   0.0 
   32 1998  3 11  0  0   0.2    63   1.9 
   32 1998  3 12  0  0   2.6    33   1.3 
   32 1998  3 13  0  0   2.4   141   0.0 
   32 1998  3 14  0  0   2.8    95   0.0 
   32 1998  3 15  0  0   6.5   120   0.0 
   32 1998  3 16  0  0   6.7    95   0.0 
   32 1998  3 17  0  0   6.3   160   0.0 
   32 1998  3 18  0  0   7.0   151   0.0 
   32 1998  3 19  0  0   5.4   175   0.0 
   32 1998  3 20  0  0   4.9   200   0.0 
   32 1998  3 21  0  0   5.3   110   0.0 
   32 1998  3 22  0  0   3.1   211   0.0 
   32 1998  3 23  0  0   2.1    74   1.0 
   32 1998  3 24  0  0   0.5    94   0.0 
   32 1998  3 25  0  0   0.9   212   0.0 
   32 1998  3 26  0  0   3.5   208   0.0 
   32 1998  3 27  0  0   7.6   127   0.0 
   32 1998  3 28  0  0   8.7   185   0.0 
   32 1998  3 29  0  0  11.0   209   0.0 
   32 1998  3 30  0  0  12.1   195   0.0 
   32 1998  3 31  0  0  12.5   199   0.0 
   32 1998  4  1  0  0  11.9   126   0.2 
   32 1998  4  2  0  0  10.8   135   1.5 
   32 1998  4  3  0  0  14.3   119   1.3 
   32 1998  4  4  0  0   6.7    42  19.9 
   32 1998  4  5  0  0   7.0   162   0.5 
   32 1998  4  6  0  0  10.1   162   0.0 
   32 1998  4  7  0  0   7.1    38  20.9 
   32 1998  4  8  0  0   8.3   208   0.2 
   32 1998  4  9  0  0   8.9   199   0.0 
   32 1998  4 10  0  0   4.9    36   6.8 
   32 1998  4 11  0  0   4.6   108  11.6 
   32 1998  4 12  0  0   3.9   166   1.7 
   32 1998  4 13  0  0   2.0   117   0.5 
   32 1998  4 14  0  0   3.0   226   0.0 
   32 1998  4 15  0  0   4.5    88  10.0 
   32 1998  4 16  0  0   5.7   211   0.0 
   32 1998  4 17  0  0   5.9   130   1.6 
   32 1998  4 18  0  0   4.1    75   1.3 
   32 1998  4 19  0  0   4.6   142   0.8 
   32 1998  4 20  0  0   7.2   233   0.6 
   32 1998  4 21  0  0  11.5   167   1.5 
   32 1998  4 22  0  0  11.6   265   0.0 
   32 1998  4 23  0  0  13.3   205   0.0 
   32 1998  4 24  0  0  12.5   121   0.0 
   32 1998  4 25  0  0  12.0   203   0.0 
   32 1998  4 26  0  0  14.0   135   0.0 
   32 1998  4 27  0  0   8.6    86   1.3 
   32 1998  4 28  0  0   6.6   116   2.9 
   32 1998  4 29  0  0   8.2   189   0.0 
   32 1998  4 30  0  0  10.3   147   0.0 
   32 1998  5  1  0  0  11.1    82   0.0 
   32 1998  5  2  0  0  10.2    76   2.7 
   32 1998  5  3  0  0  11.8   257   0.0 
   32 1998  5  4  0  0  10.3   105   0.0 
   32 1998  5  5  0  0   9.6   297   0.0 
   32 1998  5  6  0  0  11.1   140   0.0 
   32 1998  5  7  0  0  12.2   302   0.0 
   32 1998  5  8  0  0  15.5   282   0.0 
   32 1998  5  9  0  0  16.7   275   0.0 
   32 1998  5 10  0  0  16.8   297   0.0 
   32 1998  5 11  0  0  18.1   268   0.0 
   32 1998  5 12  0  0  19.5   293   0.0 
   32 1998  5 13  0  0  19.7   294   0.0 
   32 1998  5 14  0  0  18.9   270   0.0 
   32 1998  5 15  0  0  17.1   309   0.0 
   32 1998  5 16  0  0  15.1   318   0.0 
   32 1998  5 17  0  0  13.8   312   0.0 
   32 1998  5 18  0  0  13.7   318   0.0 
   32 1998  5 19  0  0  14.4   287   0.0 
   32 1998  5 20  0  0  15.5   310   0.0 
   32 1998  5 21  0  0  15.8   277   0.0 
   32 1998  5 22  0  0  14.4   296   0.0 
   32 1998  5 23  0  0  12.2   320   0.0 
